input	target
tısbağada	tısbağa + da
buluddan	bulud + dan
dəvəquşlarında	dəvəquş + larında
gəmilərdən	gəmi + lərdən
soğanları	soğan + ları
temperaturların	temperatur + ların
içirəm	iç + irəm
ütülərə	ütü + lərə
Sudə	Sudə
vəziyyətlərim	vəziyyət + lərim
dirsəkləriniz	dirsək + ləriniz
sabundan	sabun + dan
xloroplastlardan	xloroplast + lardan
canları	can + ları
beyninizdə	bey + ninizdə
mitoxondrilərə	mitoxondri + lərə
üzlərin	üz + lərin
tülpanlar	tülpan + lar
söbhlər	söbh + lər
fleytanı	fleyta + nı
zəfərlərin	zəfər + lərin
dünyanız	dünya + nız
beynimin	bey + nimin
atda	at + da
nardan	nar + dan
qəlblərin	qəlb + lərin
dinozavrlarınıza	dinozavr + larınıza
şaftalıların	şaftalı + ların
hörümçəyinizin	hörümçə + yinizin
mənzərələrimizə	mənzərə + lərimizə
bağbandan	bağban + dan
mələyinin	mələ + yinin
hüceyrənizə	hüceyrə + nizə
ürəklər	ürək + lər
əriyin	əri + yin
alovlardan	alov + lardan
qaçdınız	qaç + dınız
buynuzumuzun	buynuz + umuzun
bıçağıma	bıçağ + ıma
mismarda	mismar + da
tısbağaya	tısbağa + ya
ensiklopediyada	ensiklopediya + da
sümüyünüzün	sümü + yünüzün
oddan	od + dan
qoxunu	qoxu + nu
baltadan	balta + dan
biçinlərə	biçin + lərə
nəticələrə	nəticə + lərə
yarasaların	yarasa + ların
fleytanın	fleyta + nın
fəaliyyətimə	fəaliyyət + imə
tərcümələrinə	tərcümə + lərinə
əjdahalar	əjdaha + lar
kitabxanada	kitabxana + da
qaçdılar	qaç + dılar
xoruzlara	xoruz + lara
ayaqlara	ayaq + lara
ensiklopediya	ensiklopediya
şəhərin	şəhər + in
mehrablarda	mehrab + larda
ereksiyanın	ereksiya + nın
adlardan	ad + lardan
mələklərinin	mələk + lərinin
meyvədən	meyvə + dən
düşmanını	düşman + ını
böyürtkənlər	böyürtkən + lər
milçək	milçək
silahların	silah + ların
mənzərələrdə	mənzərə + lərdə
bahar	bahar
vazanızda	vaza + nızda
vazalarım	vaza + larım
leşyeyənlər	leşyeyən + lər
silahı	silah + ı
siçanı	siçan + ı
fəlsəfələrimizin	fəlsəfə + lərimizin
payın	pay + ın
qardaşlardan	qardaş + lardan
alətlərinin	alət + lərinin
fəlsəfələrin	fəlsəfə + lərin
bardağın	bardağ + ın
xəritənizin	xəritə + nizin
gönlərdə	gön + lərdə
alçalarını	alça + larını
diqqətlərin	diqqət + lərin
anamdan	ana + mdan
böyürtkəndə	böyürtkən + də
onurğalarımızdan	onurğa + larımızdan
şəhərə	şəhər + ə
quyruqdan	quyruq + dan
alətimizin	alət + imizin
məktəblərinizin	məktəb + lərinizin
düşmanların	düşman + ların
skripkaları	skripka + ları
badımcan	badımcan
dondurmadan	dondurma + dan
yarasa	yarasa
qulaqlarında	qulaq + larında
kölgəndən	kölgə + ndən
hinduşka	hinduşka
möcüzələrə	möcüzə + lərə
köməyimi	kö + məyimi
hüceyrələrimdən	hüceyrə + lərimdən
kağızı	kağız + ı
hüceyrələrinizi	hüceyrə + lərinizi
yoldaşı	yoldaş + ı
kraliçalarınızı	kraliça + larınızı
qəlsəmələri	qəlsəmə + ləri
qəlbini	qəlb + ini
ereksiyalarımdan	ereksiya + larımdan
qılıncların	qılınc + ların
avtomobillərdən	avtomobil + lərdən
tilişkələri	tilişkə + ləri
dünyalarınız	dünya + larınız
yaquarın	yaquar + ın
köpəkdən	köpək + dən
gəmidə	gəmi + də
balta	balta
Nəməyə	Nəmə + yə
sözlükdən	sözlük + dən
mənzərələrə	mənzərə + lərə
kəlbətinin	kəlbətin + in
yoldaşların	yoldaş + ların
qızılgüllərdən	qızılgül + lərdən
əqrəblərini	əqrəb + lərini
Sam	Sam
alçaların	alça + ların
hörümçəklərimizdən	hörümçək + lərimizdən
yeri	yer + i
biçinlər	biçin + lər
qəzet	qəzet
isimlərin	isim + lərin
onurğalarınız	onurğa + larınız
gözün	göz + ün
ereksiyaya	ereksiya + ya
qardaşlıqlarda	qardaşlıq + larda
köynəyinizin	köynə + yinizin
onurğalar	onurğa + lar
fəlsəfəniz	fəlsəfə + niz
eləmişdi	elə + mişdi
dirsəklərdən	dirsək + lərdən
sümüklərimdə	sümük + lərimdə
yemişlərimiz	yemiş + lərimiz
buynuzumdan	buynuz + umdan
uşaqlığımızda	uşaqlığ + ımızda
kraliçanızın	kraliça + nızın
ereksiyamızda	ereksiya + mızda
xəzinələrinizdə	xəzinə + lərinizdə
sevgilər	sevgi + lər
kəfgirimdə	kəfgir + imdə
kamertonların	kamerton + ların
birlikdə	birlik + də
südlər	süd + lər
anamızda	ana + mızda
kəfgirlərimizi	kəfgir + lərimizi
düşmənimizdə	düşmən + imizdə
gözlərimizin	göz + lərimizin
namazlarınızda	namaz + larınızda
arxivlərimi	arxiv + lərimi
ədəbiyyatda	ədəbiyyat + da
öpüşlərin	öpüş + lərin
dinozavrlarımıza	dinozavr + larımıza
kamertonlara	kamerton + lara
xəritələrinə	xəritə + lərinə
sümüklərimizdə	sümük + lərimizdə
ütüdən	ütü + dən
əriklərimizə	ərik + lərimizə
intiharlardan	intihar + lardan
bacılarınızın	bacı + larınızın
verdi	ver + di
xəri	xər + i
xəzinələrimizə	xəzinə + lərimizə
məktəbindən	məktəb + indən
çiyələklərə	çiyələk + lərə
ətdə	ət + də
yemişim	yemiş + im
əqrəblərimizin	əqrəb + lərimizin
körfəzlərdən	körfəz + lərdən
minarələr	minarə + lər
dağda	dağ + da
yarasadan	yarasa + dan
mələyimi	mələ + yimi
müzakirəmizə	müzakirə + mizə
beyinlərinin	beyin + lərinin
penisimdə	penis + imdə
günəbaxanda	günəbaxan + da
ayaq	ayaq
şaftalılarımızın	şaftalı + larımızın
keçilərdə	keçi + lərdə
düşmanınıza	düşman + ınıza
gözlərimdə	göz + lərimdə
kompüterlər	kompüter + lər
fəlsəfələrinizdə	fəlsəfə + lərinizdə
bürclərdən	bürc + lərdən
vəziyyətimdən	vəziyyət + imdən
düşmanlarım	düşman + larım
birliyi	birli + yi
jasmindən	jasmin + dən
meymunlarda	meymun + larda
Bazarda	Bazar + da
fəlsəfələrimizə	fəlsəfə + lərimizə
səhifəni	səhifə + ni
oxu	ox + u
əqrəbimi	əqrəb + imi
dünyamızın	dünya + mızın
əqrəbin	əqrəb + in
mənzərənizi	mənzərə + nizi
şəhərlərdən	şəhər + lərdən
alovlarda	alov + larda
yemişlərimə	yemiş + lərimə
penislər	penis + lər
şamisenləri	şamisen + ləri
gülüşlərinizə	gülüş + lərinizə
kölgəsi	kölgə + si
baldızlarınızı	baldız + larınızı
mətbəxləri	mətbəx + ləri
bağırtıların	bağırtı + ların
gözdə	göz + də
rəhbəri	rəhbər + i
yarasanın	yarasa + nın
müzakirəmin	müzakirə + min
mədrəsələri	mədrəsə + ləri
geodeziya	geodeziya
ilanın	ilan + ın
qapının	qapı + nın
qarışqalardan	qarışqa + lardan
kitabın	kitab + ın
buzlardan	buz + lardan
adalardan	ada + lardan
tısbağalar	tısbağa + lar
yadınnan	yad + ınnan
dirsəyinizdən	dirsə + yinizdən
uşaqlıqlarımızın	uşaqlıq + larımızın
alçanı	alça + nı
yaquarların	yaquar + ların
bıçağın	bıçağ + ın
bardaqlar	bardaq + lar
fakültəyə	fakültə + yə
brilyantların	brilyant + ların
rəhbərləri	rəhbər + ləri
ovçuda	ovçu + da
onurğanız	onurğa + nız
əriklərinizdə	ərik + lərinizdə
namazımdan	namaz + ımdan
buynuzunuzu	buynuz + unuzu
qəlblərimizə	qəlb + lərimizə
orağın	orağ + ın
əriyiniz	əri + yiniz
uşaqlıqlarımız	uşaqlıq + larımız
ereksiyanız	ereksiya + nız
düşmanlar	düşman + lar
dovşandan	dovşan + dan
xəritəm	xəritə + m
dırnaqlarınızı	dırnaq + larınızı
dizdən	diz + dən
alətlərin	alət + lərin
əqrəbləri	əqrəb + ləri
köynəyimin	köynə + yimin
şaftalımızdan	şaftalı + mızdan
dünyalarınızın	dünya + larınızın
kəfgir	kəfgir
incəsənətləri	incəsənət + ləri
beş	beş
arxivini	arxiv + ini
günəbaxanların	günəbaxan + ların
bayquşlarda	bayquş + larda
qardaşlıqlara	qardaşlıq + lara
vəziyyətlərinizə	vəziyyət + lərinizə
qapıya	qapı + ya
vəftizdən	vəftiz + dən
dizlərdə	diz + lərdə
dovşanda	dovşan + da
ananızı	ana + nızı
gülüşlərinizin	gülüş + lərinizin
düşmənlərini	düşmən + lərini
dayanacaqdan	dayanacaq + dan
avtomobillərə	avtomobil + lərə
şaftalısı	şaftalı + sı
verən	ver + ən
siçanlara	siçan + lara
süngümə	süngü + mə
jasmini	jasmin + i
öpüş	öpüş
birlik	birlik
istifadəçiləri	istifadəçi + ləri
əjdəhada	əjdəha + da
tərcümənizin	tərcümə + nizin
narı	nar + ı
muzeyə	muzey + ə
qəzeti	qəzet + i
qardaşınızdan	qardaş + ınızdan
alətinizi	alət + inizi
brilyant	brilyant
jurnalist	jurnalist
kamertonun	kamerton + un
xəzinələrimə	xəzinə + lərimə
şəhərləri	şəhər + ləri
qalibiyyəti	qalibiyyət + i
oxlar	ox + lar
nənəsı	nənə + sı
ütülərdə	ütü + lərdə
beyinlərinizdən	beyin + lərinizdən
vəziyyətlərimin	vəziyyət + lərimin
düşərgələrə	düşərgə + lərə
delfini	delfin + i
hüceyrəsindən	hüceyrə + sindən
dalğaları	dalğa + ları
qaza	qaz + a
bülbüldə	bülbül + də
eləməyə	elə + məyə
ereksiyanızda	ereksiya + nızda
üzümdə	üzüm + də
dinozavrınıza	dinozavr + ınıza
çiyələkdə	çiyələk + də
açarınızın	açar + ınızın
uşaqlara	uşaq + lara
rəhbərimin	rəhbər + imin
ayağa	ayağ + a
belə	belə
köməyimizə	kö + məyimizə
bacı	bacı
xloroplastda	xloroplast + da
gülüşünüzdə	gülüş + ünüzdə
müzakirənə	müzakirə + nə
məktəbin	məktəb + in
rəngləyəcək	rənglə + yəcək
rəhbərlərini	rəhbər + lərini
dünyamı	dünya + mı
ağacın	ağac + ın
mətbəxlərin	mətbəx + lərin
bağda	bağ + da
dələni	dələ + ni
mələklər	mələk + lər
dünyasında	dünya + sında
qardaşlıqlardan	qardaşlıq + lardan
kölgələrində	kölgə + lərində
dinin	din + in
qana	qan + a
qaçqını	qaçqın + ı
ovçularda	ovçu + larda
gözümüzə	göz + ümüzə
qızılgülləri	qızılgül + ləri
avtomobilə	avtomobil + ə
fəaliyyətlərinizdə	fəaliyyət + lərinizdə
sümüyümüzdə	sümü + yümüzdə
jasminə	jasmin + ə
gönlərin	gön + lərin
penislərindən	penis + lərindən
xəzinəmiz	xəzinə + miz
düşmənimin	düşmən + imin
maşının	maşın + ın
günəbaxanı	günəbaxan + ı
isim	isim
sümüyümüz	sümü + yümüz
oxumamış	oxu + mamış
qulaqlarımızın	qulaq + larımızın
uşaqlıqlarınızı	uşaqlıq + larınızı
hörümçəyim	hörümçə + yim
kitablar	kitab + lar
qaloşu	qaloş + u
qalibiyyətə	qalibiyyət + ə
dilənçiyə	dilənçi + yə
ereksiyanıza	ereksiya + nıza
yağışlardan	yağış + lardan
sevgiyə	sevgi + yə
göyərçin	göyərçin
tələbəm	tələbə + m
qalibiyyətlərdə	qalibiyyət + lərdə
tələbələri	tələbə + ləri
ağlayacaqlar	ağla + yacaqlar
qaranquşun	qaranquş + un
vazalarda	vaza + larda
qardaşınnan	qardaş + ınnan
öpüşləri	öpüş + ləri
ulduzlara	ulduz + lara
səbirsizliklə	səbirsizlik + lə
futbolçuların	futbolçu + ların
bu	bu
penisimizdən	penis + imizdən
alətlərimizin	alət + lərimizin
filmləri	film + ləri
pilləkənlərdən	pilləkən + lərdən
oturacağıq	otur + acağıq
bacısına	bacı + sına
tərcümələrim	tərcümə + lərim
peyğəmbərləri	peyğəmbər + ləri
baldızlarınızda	baldız + larınızda
sabunların	sabun + ların
dırnaqlarınızdan	dırnaq + larınızdan
surəyə	surə + yə
səviyyələrdə	səviyyə + lərdə
körfəzi	körfəz + i
bazar	bazar
dirsəkdən	dirsək + dən
dünyadan	dünya + dan
anasına	ana + sına
kəfgirlərə	kəfgir + lərə
dələlərdən	dələ + lərdən
əriklərinin	ərik + lərinin
alətlərindən	alət + lərindən
qardaşlarınızı	qardaş + larınızı
mohəssildir	mohəssil + dir
dırnaq	dırnaq
çiçəkdə	çiçək + də
mələyimizin	mələ + yimizin
hörümçəyində	hörümçə + yində
ox	ox
futbolçuda	futbolçu + da
bıçaqlarını	bıçaq + larını
boyanın	boya + nın
müzakirələrə	müzakirə + lərə
xəzinəni	xəzinə + ni
canavarlarda	canavar + larda
kərgədanları	kərgədan + ları
günəşləri	günəş + ləri
alçaya	alça + ya
qoxunuzu	qoxu + nuzu
köpəklər	köpək + lər
dağların	dağ + ların
köynəklərdən	köynək + lərdən
qulaqlarımızdan	qulaq + larımızdan
gözlərinizi	göz + lərinizi
buzun	buz + un
yarasalardan	yarasa + lardan
güləcəyik	gül + əcəyik
xəritənizdən	xəritə + nizdən
badamlardan	badam + lardan
kraliçasında	kraliça + sında
süzgəclərin	süzgəc + lərin
adalara	ada + lara
gülüşlərimizin	gülüş + lərimizin
soğanın	soğan + ın
bibərlər	bibər + lər
hüceyrənin	hüceyrə + nin
müsabiqəni	müsabiqə + ni
vəziyyətlərində	vəziyyət + lərində
dolablara	dolab + lara
yəhudilərdən	yəhudi + lərdən
köynəklərim	köynək + lərim
mələklərin	mələk + lərin
dizlərə	diz + lərə
bağırsaqlardan	bağırsaq + lardan
əqrəblərimizdə	əqrəb + lərimizdə
tülpanların	tülpan + ların
incəsənətlərdə	incəsənət + lərdə
axışlardan	axış + lardan
dənizin	dəniz + in
tülküdə	tülkü + də
penislərdə	penis + lərdə
jurnalistlərin	jurnalist + lərin
şaftalılardan	şaftalı + lardan
yemişinizin	yemiş + inizin
bacılarınız	bacı + larınız
dalğanız	dalğa + nız
bıçağımızın	bıçağ + ımızın
gözəldir	gözəl + dir
tələbənizi	tələbə + nizi
xəritəyə	xəritə + yə
sevgilərdən	sevgi + lərdən
nəticələrin	nəticə + lərin
bibəri	bibər + i
möcüzənin	möcüzə + nin
hörümçəklərində	hörümçək + lərində
müqayisənin	müqayisə + nin
düşmənində	düşmən + ində
analarımızın	ana + larımızın
yaxçı	yaxçı
bulud	bulud
qanları	qan + ları
fırtınaların	fırtına + ların
tərcümələrdən	tərcümə + lərdən
ereksiyaları	ereksiya + ları
süngülərimizə	süngü + lərimizə
təsadüfü	təsadüf + ü
dünyamıza	dünya + mıza
dayanacaqlara	dayanacaq + lara
göllərdən	göl + lərdən
oturdum	otur + dum
okeanın	okean + ın
baharları	bahar + ları
dırnaqlarda	dırnaq + larda
dalğandan	dalğa + ndan
mətbəx	mətbəx
respublikanın	respublika + nın
mələkləriniz	mələk + ləriniz
dırnaqlarımda	dırnaq + larımda
qoxularınızın	qoxu + larınızın
əqrəblərimiz	əqrəb + lərimiz
sabunda	sabun + da
hörümçəyimdə	hörümçə + yimdə
düşmanlarımızı	düşman + larımızı
ulduzdan	ulduz + dan
sərçələrin	sərçə + lərin
sümüyün	sümü + yün
quyruğun	quyruğ + un
təbiətlərdən	təbiət + lərdən
dilə	dil + ə
ağacdələndən	ağacdələn + dən
yəhudilərin	yəhudi + lərin
kərgədanın	kərgədan + ın
qəlblərindən	qəlb + lərindən
arxivlərinizin	arxiv + lərinizin
dilləri	dil + ləri
qızıl	qızıl
bacımız	bacı + mız
qurbağanı	qurbağa + nı
vertolyotda	vertolyot + da
bıçaqlarıma	bıçaq + larıma
pişiklərdə	pişik + lərdə
ananda	ana + nda
dovşanları	dovşan + ları
rəhbərlərimin	rəhbər + lərimin
kağızları	kağız + ları
buludlarda	bulud + larda
səhifə	səhifə
əjdəhanın	əjdəha + nın
yata	yat + a
məktəblərin	məktəb + lərin
yardım	yardım
qardaşıynan	qardaş + ıynan
qardaşıma	qardaş + ıma
uşaqlığının	uşaqlığ + ının
bayquş	bayquş
şənbələrdə	şənbə + lərdə
arxivlərinin	arxiv + lərinin
müsabiqələrdən	müsabiqə + lərdən
buzlara	buz + lara
kəpənəklər	kəpənək + lər
alətlər	alət + lər
qardaşımızdan	qardaş + ımızdan
atlarda	at + larda
bozbaşlar	bozbaş + lar
qaranquşu	qaranquş + u
dalğamın	dalğa + mın
kitabxanaya	kitabxana + ya
psixoterapiyalara	psixoterapiya + lara
hörümçəyimiz	hörümçə + yimiz
qardaşlarınız	qardaş + larınız
yeyin	yeyin
hüceyrəmdən	hüceyrə + mdən
köməyimizdən	kö + məyimizdən
yemişinizdə	yemiş + inizdə
kölgəmdən	kölgə + mdən
gülüşlərini	gülüş + lərini
təzyiqi	təzyiq + i
axşamlara	axşam + lara
kağızlar	kağız + lar
kəfgiri	kəfgir + i
lüğətə	lüğət + ə
rəndələri	rəndə + ləri
günləri	gün + ləri
təyyarələri	təyyarə + ləri
qəlbimizə	qəlb + imizə
köməklərinizdə	kömək + lərinizdə
brilyantı	brilyant + ı
qonşularda	qonşu + larda
güləcəklər	gül + əcəklər
öpüşdən	öpüş + dən
qəlbləriniz	qəlb + ləriniz
çiçəklər	çiçək + lər
namazlarımın	namaz + larımın
ağladım	ağla + dım
mehrabı	mehrab + ı
anana	ana + na
müzakirəni	müzakirə + ni
onurğasına	onurğa + sına
baldızlarımdan	baldız + larımdan
son	son
tükləri	tük + ləri
ereksiyamıza	ereksiya + mıza
buynuzlarımdan	buynuz + larımdan
əqrəbimdən	əqrəb + imdən
ki	ki
buz	buz
saqqalın	saqqal + ın
vəziyyətlərinə	vəziyyət + lərinə
kaktusu	kaktus + u
intiharlara	intihar + lara
mahnıları	mahnı + ları
avqustlar	avqust + lar
qoxularımın	qoxu + larımın
pianoların	piano + ların
təbiətlərə	təbiət + lərə
qarpızlarda	qarpız + larda
qəlbimizdə	qəlb + imizdə
sevgidə	sevgi + də
köpüyün	köpü + yün
müzakirəmiz	müzakirə + miz
yatsaydı	yat + saydı
qardaşını	qardaş + ını
psixoterapiyalarda	psixoterapiya + larda
müzakirədə	müzakirə + də
tələbələrimizi	tələbə + lərimizi
vazasının	vaza + sının
beynimizdən	bey + nimizdən
oturduq	otur + duq
müzakirəmizin	müzakirə + mizin
qəlblərinizin	qəlb + lərinizin
donuzda	donuz + da
sözü	söz + ü
gülüşdən	gülüş + dən
ulduza	ulduz + a
dilənçilərdə	dilənçi + lərdə
qoxulardan	qoxu + lardan
sivilizasiyalar	sivilizasiya + lar
anamda	ana + mda
dillər	dil + lər
olanda	ol + anda
səviyyə	səviyyə
tülkü	tülkü
qəlblərimizin	qəlb + lərimizin
tərcümələrdə	tərcümə + lərdə
arxivlərim	arxiv + lərim
ərə	ər + ə
muzeydə	muzey + də
olduğunu	ol + duğunu
dinozavrlarında	dinozavr + larında
diqqətdə	diqqət + də
oyuncaqlarda	oyuncaq + larda
dırnaqların	dırnaq + ların
dildən	dil + dən
qarğalardan	qarğa + lardan
dırnaqlarınıza	dırnaq + larınıza
onurğa	onurğa
qulaqlarım	qulaq + larım
payda	pay + da
qələbə	qələbə
pilləkəndən	pilləkən + dən
bülbüllərə	bülbül + lərə
hüceyrələrimizi	hüceyrə + lərimizi
həqiqətlər	həqiqət + lər
qardaşlarımızı	qardaş + larımızı
düşmanlarımız	düşman + larımız
rəndələr	rəndə + lər
kraliçanızdan	kraliça + nızdan
işıqlarda	işıq + larda
buludlardan	bulud + lardan
düşməninə	düşmən + inə
tərcümələrimizə	tərcümə + lərimizə
içəcəksən	iç + əcəksən
köməkdə	kömək + də
qadına	qadın + a
cücülərdə	cücü + lərdə
məktəblərimizdə	məktəb + lərimizdə
ovçu	ovçu
qarğalar	qarğa + lar
dilin	dil + in
analarımın	ana + larımın
əqrəblərdən	əqrəb + lərdən
buludları	bulud + ları
kompüteri	kompüter + i
gəmilərdə	gəmi + lərdə
milçəklərdən	milçək + lərdən
skripkanın	skripka + nın
baldızlarıma	baldız + larıma
sərçəyə	sərçə + yə
kölgələrini	kölgə + lərini
rənglərdə	rəng + lərdə
qızılgüllərdə	qızılgül + lərdə
qoxunun	qoxu + nun
tərcüməmizdən	tərcümə + mizdən
gülüşünə	gülüş + ünə
kərgədanlardan	kərgədan + lardan
elərik	elə + rik
dünyalarda	dünya + larda
vazasına	vaza + sına
fırtına	fırtına
tələbəmdən	tələbə + mdən
dalğanı	dalğa + nı
alova	alov + a
dırnağımızın	dırnağ + ımızın
adlara	ad + lara
xəzinəsini	xəzinə + sini
oturursunuz	otur + ursunuz
tələbəmin	tələbə + min
uşaqlıqlarımın	uşaqlıq + larımın
baldızlarımızda	baldız + larımızda
körfəzə	körfəz + ə
qulaqlarımdan	qulaq + larımdan
mənzərələrində	mənzərə + lərində
zoğları	zoğ + ları
bibərlərin	bibər + lərin
bəbəkləri	bəbək + ləri
kitabxanaları	kitabxana + ları
əriyimdə	əri + yimdə
brilyantlardan	brilyant + lardan
arxivində	arxiv + ində
vertolyotların	vertolyot + ların
şaftalıdan	şaftalı + dan
əlçatmaz	əlçatmaz
əriyinə	əri + yinə
içdik	iç + dik
vazanda	vaza + nda
oxlardan	ox + lardan
axışın	axış + ın
mənzərələrimdə	mənzərə + lərimdə
kəpənək	kəpənək
tüstüləri	tüstü + ləri
tərcümələr	tərcümə + lər
süngüləriniz	süngü + ləriniz
şirkətlərin	şirkət + lərin
beyinlərinizin	beyin + lərinizin
tələbəndən	tələbə + ndən
açarımızdan	açar + ımızdan
xərlərə	xər + lərə
ayı	ay + ı
dalğamızdan	dalğa + mızdan
osminoqlardan	osminoq + lardan
motosikletlərdən	motosiklet + lərdən
çekmağı	çek + mağı
uşaqlıqların	uşaqlıq + ların
qarışqanı	qarışqa + nı
uşaqlığımızdan	uşaqlığ + ımızdan
kərpici	kərpic + i
dirsəklərimiz	dirsək + lərimiz
incəsənətə	incəsənət + ə
jasmində	jasmin + də
namazımın	namaz + ımın
xərlərin	xər + lərin
zürafələrə	zürafə + lərə
mitoxondriyə	mitoxondri + yə
sərçələri	sərçə + ləri
namazım	namaz + ım
süngünüzdə	süngü + nüzdə
üzləri	üz + ləri
məktəbini	məktəb + ini
dəvədən	dəvə + dən
tərcüməndən	tərcümə + ndən
qədər	qədər
hüceyrələrinizin	hüceyrə + lərinizin
evdəyidi	ev + dəyidi
odlardan	od + lardan
mismarın	mismar + ın
açarlarınız	açar + larınız
geyşalara	geyşa + lara
xoruzdan	xoruz + dan
beyniniz	bey + niniz
düşmanlarımıza	düşman + larımıza
aylara	ay + lara
pişirdigi	piş + irdigi
dülgər	dülgər
şaftalımın	şaftalı + mın
meymunun	meymun + un
dırnaqlarım	dırnaq + larım
var	var
dəvələrə	dəvə + lərə
badımcana	badımcan + a
damcının	damcı + nın
osminoqların	osminoq + ların
mismarların	mismar + ların
gönləri	gön + ləri
sümüklərimdən	sümük + lərimdən
dinozavrlarımızın	dinozavr + larımızın
süngülərimdən	süngü + lərimdən
kəfgirlərinizin	kəfgir + lərinizin
dirsək	dirsək
süpürgə	süpürgə
paytəxti	paytəxt + i
dülgəri	dülgər + i
amfiteatrlar	amfiteatr + lar
xəzinələrimizdə	xəzinə + lərimizdə
hinduşkaların	hinduşka + ların
cəsəddən	cəsəd + dən
keçidən	keçi + dən
bayrağı	bayrağ + ı
ilanlarda	ilan + larda
şkaflardan	şkaf + lardan
alçalarınıza	alça + larınıza
kağızlarda	kağız + larda
şaftalılarınız	şaftalı + larınız
busələri	busə + ləri
xəzinələrinizə	xəzinə + lərinizə
düşərgələrdə	düşərgə + lərdə
qarpız	qarpız
qardaşınız	qardaş + ınız
xəzinələrimizdən	xəzinə + lərimizdən
sevgilərə	sevgi + lərə
üstündə	üst + ündə
onurğalarımı	onurğa + larımı
uşaqlıqlarıma	uşaqlıq + larıma
fəlsəfəsində	fəlsəfə + sində
kraliçasına	kraliça + sına
baldızlarımızı	baldız + larımızı
süngündə	süngü + ndə
mənzərələrimə	mənzərə + lərimə
buynuzumuzdan	buynuz + umuzdan
hörümçəyimin	hörümçə + yimin
pişiklərdən	pişik + lərdən
kitabxanalar	kitabxana + lar
avtomobillərin	avtomobil + lərin
bardaq	bardaq
südlərdə	süd + lərdə
qonşuda	qonşu + da
əriklərimin	ərik + lərimin
dirsəyiniz	dirsə + yiniz
bayraqda	bayraq + da
bacılarıma	bacı + larıma
kamertona	kamerton + a
birliklər	birlik + lər
qəlblərimiz	qəlb + lərimiz
göyərçindən	göyərçin + dən
mahnılar	mahnı + lar
mənzərən	mənzərə + n
ayların	ay + ların
müzakirələrinizdən	müzakirə + lərinizdən
körpünün	körpü + nün
alətimizdən	alət + imizdən
anamıza	ana + mıza
tülpanın	tülpan + ın
qazlara	qaz + lara
alətinizdən	alət + inizdən
qəlsəmə	qəlsəmə
fırtınaları	fırtına + ları
tüstünün	tüstü + nün
minbərdən	minbər + dən
ağacdan	ağac + dan
dalğıcları	dalğıc + ları
mənzərələrimin	mənzərə + lərimin
açarımı	açar + ımı
açarlarımda	açar + larımda
yemişlərindən	yemiş + lərindən
şaftalıya	şaftalı + ya
onurğalarıma	onurğa + larıma
namazlarınızdan	namaz + larınızdan
alçalarımız	alça + larımız
dırnağından	dırnağ + ından
tərcümələrinizə	tərcümə + lərinizə
təbiət	təbiət
düşmənimdən	düşmən + imdən
mələyimizi	mələ + yimizi
geyşadan	geyşa + dan
düşmanlarına	düşman + larına
dəmir	dəmir
çiçəklərə	çiçək + lərə
vazasını	vaza + sını
fırtınanın	fırtına + nın
nəticələrdən	nəticə + lərdən
meyvə	meyvə
dodaqlara	dodaq + lara
buynuzlarınızda	buynuz + larınızda
dırnaqlara	dırnaq + lara
çəyirtkənin	çəyirtkə + nin
tarixdə	tarix + də
temperatur	temperatur
temperturdan	temper + turdan
vəftiz	vəftiz
dünyanızda	dünya + nızda
vəziyyətlərdən	vəziyyət + lərdən
günlərdə	gün + lərdə
respublikada	respublika + da
matçlarda	matç + larda
leşyeyənlərə	leşyeyən + lərə
dalğalarınızın	dalğa + larınızın
xəzinəsinə	xəzinə + sinə
dırnaqdan	dırnaq + dan
rəhbərlərimdən	rəhbər + lərimdən
skripkaların	skripka + ların
ayaqqabılarda	ayaqqabı + larda
yemişimizə	yemiş + imizə
aydan	ay + dan
osminoqlarda	osminoq + larda
göydələnlərdən	göydələn + lərdən
buynuzunuz	buynuz + unuz
qəlblərimizi	qəlb + lərimizi
bacılar	bacı + lar
pendirlərdə	pendir + lərdə
kraliçasının	kraliça + sının
oxun	ox + un
dalğıca	dalğıc + a
alçalarına	alça + larına
badamı	badam + ı
hüceyrələrimizin	hüceyrə + lərimizin
qarğa	qarğa
dəyirmanlar	dəyirman + lar
kərpiclərdən	kərpic + lərdən
rəhbərlərimizin	rəhbər + lərimizin
hörümçəklərimdə	hörümçək + lərimdə
hüceyrəmizdə	hüceyrə + mizdə
hörümçəyinizə	hörümçə + yinizə
mitoxondrilərin	mitoxondri + lərin
şirkətdən	şirkət + dən
sümüklərimi	sümük + lərimi
bıçağınız	bıçağ + ınız
səbəblərdə	səbəb + lərdə
buludun	bulud + un
sözlərdə	söz + lərdə
skripka	skripka
incəsənəti	incəsənət + i
onurğanızda	onurğa + nızda
rəhbərimə	rəhbər + imə
inəklərdə	inək + lərdə
ürəkdən	ürək + dən
ağaclarda	ağac + larda
hüceyrələrinin	hüceyrə + lərinin
möcüzə	möcüzə
qəlblərim	qəlb + lərim
qardaşına	qardaş + ına
kölgələrinə	kölgə + lərinə
birliklərin	birlik + lərin
təsadüflərə	təsadüf + lərə
ereksiyaların	ereksiya + ların
bıçaqlarınıza	bıçaq + larınıza
zəfəri	zəfər + i
qoxunuz	qoxu + nuz
bulağa	bulağ + a
